id,title,description,image_prompt,tags,categories,price,player_count_min,player_count_max,play_time_minutes,publisher,designer,release_year,image_url,created_at,updated_at,description_vector
11,"Trails of Reckoning","Trails of Reckoning opens like a classic Party game, then quickly reveals Cards layers that reward long-form table memory. Its Party framework encourages risky pivots, especially once table politics reshape priorities. Core turns revolve around simultaneous planning: commit actions, resolve conflicts, then pivot as event decks introduce 4 escalating complications. Negotiation matters more than it first appears; temporary coalitions routinely form, fracture, and reform inside a single chapter. Veteran groups report that Trails of Reckoning shines brightest after a few sessions, once subtle timing windows and bluff cues become legible.",,Cards|Solo,Party,38.35,4,10,51,"Indigo Forge","Elliot Mercer",2008,/images/fixtures/game_0011.png,2025-08-22T22:27:42+00:00,2026-03-26T10:29:41+00:00,"-0.1178,0.8572,-0.7041,0.6398,0.999,-0.0567,-0.438,0.556"
12,"Gang of Dice Ambitious","Part campaign and part systems puzzle, Gang of Dice Ambitious asks 2–6 players players to master Eurogame priorities under tight pressure. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. Economy rails are intentionally unstable: once players trigger threshold events, 8 new scoring hooks reshape optimal lines. Only adaptable crews master Gang of Dice Ambitious, where a hidden objective flips alliances at endgame and long-term planning matter as much as tactical brilliance.",,Campaign|Dice,Eurogame,34.94,4,7,149,"Indigo Forge","Marcus Thorne",2012,/images/fixtures/game_0012.png,2025-06-21T06:02:23+00:00,2026-03-26T10:29:41+00:00,"0.3263,-0.9613,-0.4686,-0.8994,0.0582,-0.0466,0.4674,0.4528"
13,"Tatari: Arena","At its core, Tatari: Arena is a Co-op design where Tile Laying, Miniatures and Cards mechanisms collide with draft-and-resolve rounds pacing for 1–5 players groups. Its Co-op framework encourages risky pivots, especially once table politics reshape priorities. Action windows stay short, but consequence chains run long, especially in sessions around 138 minutes where adaptation beats scripted play. Component design supports readability at scale: icon-first cards, layered reference boards, and phase reminders keep late-game turns moving. Few designs blend Co-op and Cards this smoothly while remaining approachable across varied player counts.",,"Tile Laying|Miniatures|Cards",Co-op,25.31,1,5,138,"Nimbus Games","Marcus Thorne",2004,/images/fixtures/game_0013.png,2026-02-22T04:51:37+00:00,2026-03-26T10:29:41+00:00,"-0.837,0.8565,0.6081,0.1809,-0.3041,0.8184,0.8501,-0.3161"
14,"Gang of Dice: Inis","Designed for newcomer-friendly tables, Gang of Dice: Inis channels guild conspiracies into a ruleset that stays readable while outcomes stay unpredictable. A standout mechanic tied to Campaign means even safe plans can collapse if opponents read your tempo one round ahead. Action windows stay short, but consequence chains run long, especially in sessions around 74 minutes where adaptation beats scripted play. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Dice|Engine Building|Campaign|Solo","Deck Building",63.53,4,5,44,"Silver Oak Studio","Akira Flynn",2024,/images/fixtures/game_0014.png,2025-10-16T18:39:23+00:00,2026-03-26T10:29:41+00:00,"-0.2975,0.2846,0.8499,-0.2143,0.9531,0.4365,0.8766,-0.4546"
15,"Tactical Harvest","Part campaign and part systems puzzle, Tactical Harvest asks 2–3 players players to master Deck Building priorities under feast-or-famine pressure. Its Deck Building framework encourages risky pivots, especially once table politics reshape priorities. Map states remain highly legible despite scale; by late game, up to 29 tiles and layered markers support deep positional planning. A standout mechanic tied to Engine Building means even safe plans can collapse if opponents read your tempo one round ahead. Expect repeat plays to diverge quickly: opening lines may look familiar, but midgame states rarely resolve the same way twice.",,"Dice|Legacy|Solo|Engine Building","Deck Building",31.36,1,8,90,"Nimbus Games","Elliot Mercer",2023,/images/fixtures/game_0015.png,2025-10-28T11:42:29+00:00,2026-03-26T10:29:41+00:00,"-0.8472,-0.3699,-0.8145,-0.983,0.2989,-0.8565,0.2147,-0.1044"
16,"Wily Nebula","Wily Nebula opens like a classic Eurogame game, then quickly reveals Legacy layers that reward long-form table memory. Economy rails are intentionally unstable: once players trigger threshold events, 5 new scoring hooks reshape optimal lines. Win or lose, Wily Nebula tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,Campaign|Legacy,Eurogame,86.68,2,8,127,"Clockwork Labs","Nico Valdez",1998,/images/fixtures/game_0016.png,2025-08-10T12:37:12+00:00,2026-03-26T10:29:41+00:00,"-0.5853,-0.837,0.6886,0.2912,-0.5132,-0.9063,0.6844,-0.5086"
17,"Crimson Kingdom","Crimson Kingdom frames merchant drama as a living sandbox: each scenario escalates pressure while 1–3 players teams improvise around shifting incentives. Its Thematic framework encourages risky pivots, especially once table politics reshape priorities. Action windows stay short, but consequence chains run long, especially in sessions around 114 minutes where adaptation beats scripted play. Scenario goals favor adaptive teams: one mission asks for diplomatic efficiency, the next demands aggressive engine conversion under time pressure. Win or lose, Crimson Kingdom tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,Dice|Solo,Thematic,55.72,4,6,102,"Silver Oak Studio","Marcus Thorne",2015,/images/fixtures/game_0017.png,2025-12-30T22:20:25+00:00,2026-03-26T10:29:41+00:00,"0.9122,0.1798,-0.5893,0.2918,0.3287,-0.6522,0.135,0.3342"
18,"Tigris and Euphrates: Dominion","At its core, Tigris and Euphrates: Dominion is a Thematic design where Cards, Solo and Campaign mechanisms collide with real-time bursts pacing for 1–7 players groups. Component design supports readability at scale: icon-first cards, layered reference boards, and phase reminders keep late-game turns moving. Campaign logs track table history, so failed gambits still unlock content; expect up to 4 relic-style upgrades that alter scoring priorities. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,Cards|Solo|Campaign,Thematic,78.76,4,6,124,"Silver Oak Studio","Lena Ortiz",2023,/images/fixtures/game_0018.png,2026-02-28T12:16:16+00:00,2026-03-26T10:29:41+00:00,"-0.9948,-0.2202,-0.9423,-0.5209,0.772,-0.7146,0.7226,-0.2162"
19,"Shattered Protocol","Shattered Protocol is a campaign-first Family title for 1–4 players that leans into Miniatures, Solo and Cards and initiative bidding play. Its Family framework encourages risky pivots, especially once table politics reshape priorities. Campaign logs track table history, so failed gambits still unlock content; expect up to 5 relic-style upgrades that alter scoring priorities. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. Win or lose, Shattered Protocol tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,Miniatures|Solo|Cards,Family,55.30,3,6,145,"Nimbus Games","Marcus Thorne",2001,/images/fixtures/game_0019.png,2026-02-02T15:57:26+00:00,2026-03-26T10:29:41+00:00,"0.857,-0.2925,0.3287,0.1194,-0.0211,-0.7771,0.7047,-0.5669"
20,"Festival Campaign","Festival Campaign frames frontier diplomacy as a living sandbox: each scenario escalates pressure while 1–8 players teams improvise around shifting incentives. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. Action windows stay short, but consequence chains run long, especially in sessions around 143 minutes where adaptation beats scripted play. Few designs blend Abstract and Tile Laying this smoothly while remaining approachable across varied player counts.",,"Tile Laying|Dice|Cards",Abstract,80.52,3,7,113,"Nimbus Games","Lena Ortiz",1999,/images/fixtures/game_0020.png,2026-02-07T06:22:17+00:00,2026-03-26T10:29:41+00:00,"0.6852,-0.4124,-0.4153,0.2431,-0.1768,0.2371,0.1243,0.4796"
21,"My City: Legion","My City: Legion is a campaign-first Thematic title for 1–4 players that leans into Solo, Cards and Campaign and draft-and-resolve rounds play. Hidden information is sparse but impactful, creating tense reveals that reward inference rather than guesswork. Campaign logs track table history, so failed gambits still unlock content; expect up to 6 relic-style upgrades that alter scoring priorities. Expect repeat plays to diverge quickly: opening lines may look familiar, but midgame states rarely resolve the same way twice.",,Solo|Cards|Campaign,Thematic,42.57,3,10,63,"Silver Oak Studio","Lena Ortiz",2024,/images/fixtures/game_0021.png,2026-03-15T23:47:22+00:00,2026-03-26T10:29:41+00:00,"0.9674,0.9405,-0.7498,-0.788,0.7627,-0.047,-0.9135,0.2726"
22,"Ichor: El Grande","Designed for newcomer-friendly tables, Ichor: El Grande channels political intrigue into a ruleset that stays readable while outcomes stay unpredictable. Its Deck Building framework encourages risky pivots, especially once table politics reshape priorities. Map states remain highly legible despite scale; by late game, up to 30 tiles and layered markers support deep positional planning. Hidden information is sparse but impactful, creating tense reveals that reward inference rather than guesswork. Win or lose, Ichor: El Grande tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,"Cards|Campaign|Miniatures|Engine Building","Deck Building",47.20,4,10,130,"Indigo Forge","Lena Ortiz",2020,/images/fixtures/game_0022.png,2025-04-11T23:48:08+00:00,2026-03-26T10:29:41+00:00,"0.0843,-0.1442,0.6119,-0.7007,0.5171,-0.6606,-0.5914,-0.119"
23,"Heat: Kingdom","Heat: Kingdom is a newcomer-friendly Thematic title for 1–3 players that leans into Dice, Engine Building and Tile Laying and programmed actions play. Your group manages risk-loaded economies while chasing milestone bonuses; by chapter 3 the board can contain over 23 modular tiles. Veteran groups report that Heat: Kingdom shines brightest after a few sessions, once subtle timing windows and bluff cues become legible.",,"Dice|Engine Building|Tile Laying",Thematic,64.19,1,8,112,"Nimbus Games","Marcus Thorne",1996,/images/fixtures/game_0023.png,2025-12-19T16:22:28+00:00,2026-03-26T10:29:41+00:00,"-0.4661,0.3213,0.6432,-0.3107,-0.0051,0.6894,0.3501,0.5192"
24,"Stressful Horizon","Stressful Horizon opens like a classic Co-op game, then quickly reveals Solo layers that reward long-form table memory. Negotiation matters more than it first appears; temporary coalitions routinely form, fracture, and reform inside a single chapter. Round structure forces meaningful tradeoffs between tempo and efficiency; over 6 chapters, even small resource leaks become strategic liabilities. Only adaptable crews master Stressful Horizon, where one public objective mutates whenever milestones are missed and long-term planning matter as much as tactical brilliance.",,Solo|Legacy,Co-op,20.33,3,9,148,"Indigo Forge","Elliot Mercer",1993,/images/fixtures/game_0024.png,2025-09-12T14:08:53+00:00,2026-03-26T10:29:41+00:00,"0.1142,0.474,-0.4247,0.8004,0.2717,-0.0785,-0.5275,-0.7878"
25,"Inis of My City","Built around Party systems, Inis of My City pushes Engine Building choices across 5 linked sessions and rewards tables that enjoy merchant drama. Your group manages feast-or-famine economies while chasing milestone bonuses; by chapter 3 the board can contain over 21 modular tiles. Few designs blend Party and Engine Building this smoothly while remaining approachable across varied player counts.",,"Engine Building|Miniatures|Dice|Legacy",Party,31.90,4,7,43,"Clockwork Labs","Marcus Thorne",1991,/images/fixtures/game_0025.png,2025-06-09T09:02:32+00:00,2026-03-26T10:29:41+00:00,"0.7547,-0.7962,-0.9836,-0.2565,0.669,-0.7519,0.6641,0.6505"
26,"Heat: Silos","At its core, Heat: Silos is a Co-op design where Solo and Engine Building mechanisms collide with programmed actions pacing for 1–5 players groups. Hidden information is sparse but impactful, creating tense reveals that reward inference rather than guesswork. Campaign logs track table history, so failed gambits still unlock content; expect up to 4 relic-style upgrades that alter scoring priorities. Expect repeat plays to diverge quickly: opening lines may look familiar, but midgame states rarely resolve the same way twice.",,"Solo|Engine Building",Co-op,44.84,2,6,57,"Silver Oak Studio","Marcus Thorne",2015,/images/fixtures/game_0026.png,2026-03-24T20:28:50+00:00,2026-03-26T10:29:41+00:00,"0.1444,-0.1491,0.1686,0.5318,0.4468,-0.6835,0.1205,-0.8508"
27,"Scout Hidden","Scout Hidden is a brain-burner Abstract title for 1–5 players that leans into Tile Laying and Miniatures and draft-and-resolve rounds play. Its Abstract framework encourages risky pivots, especially once table politics reshape priorities. By mid-campaign, 6 relic slots and rotating objectives create dense interaction where denial play is as valuable as raw points. Negotiation matters more than it first appears; temporary coalitions routinely form, fracture, and reform inside a single chapter. If your table likes post-game debriefs, Scout Hidden will spark them—nearly every finale feels earned, messy, and memorable.",,"Tile Laying|Miniatures",Abstract,68.84,4,6,60,"Nimbus Games","Elliot Mercer",2022,/images/fixtures/game_0027.png,2026-03-20T12:33:14+00:00,2026-03-26T10:29:41+00:00,"0.5352,-0.5787,0.9666,0.4333,-0.7384,-0.3996,-0.8989,-0.3415"
28,"Tatari Verdant","Built around Party systems, Tatari Verdant pushes Cards choices across 4 linked sessions and rewards tables that enjoy expedition survival. Its Party framework encourages risky pivots, especially once table politics reshape priorities. Action windows stay short, but consequence chains run long, especially in sessions around 146 minutes where adaptation beats scripted play. A standout mechanic tied to Cards means even safe plans can collapse if opponents read your tempo one round ahead. The late game stays dramatic without becoming random, making each finale feel like the natural consequence of earlier risks.",,"Dice|Tile Laying|Cards|Engine Building",Party,41.04,4,6,47,"Arcana Works","Elliot Mercer",2024,/images/fixtures/game_0028.png,2025-10-29T18:31:01+00:00,2026-03-26T10:29:41+00:00,"0.4828,-0.4272,-0.0502,0.5902,-0.7429,-0.8746,0.4599,0.1225"
29,"Caravan beyond Zoo Vadis","Caravan beyond Zoo Vadis is a brain-burner Strategy title for 1–8 players that leans into Miniatures and Dice and real-time bursts play. Its Strategy framework encourages risky pivots, especially once table politics reshape priorities. Map states remain highly legible despite scale; by late game, up to 13 tiles and layered markers support deep positional planning. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. Few designs blend Strategy and Miniatures this smoothly while remaining approachable across varied player counts.",,Miniatures|Dice,Strategy,82.16,4,9,128,"Silver Oak Studio","Akira Flynn",2002,/images/fixtures/game_0029.png,2025-04-18T09:56:40+00:00,2026-03-26T10:29:41+00:00,"0.7902,-0.6238,0.9665,-0.3401,0.8149,-0.9001,0.8769,-0.5918"
30,"Silos: Nana","Silos: Nana is a mid-weight hobby Thematic title for 2–8 players that leans into Cards, Miniatures, Legacy and Campaign and real-time bursts play. Scenario goals favor adaptive teams: one mission asks for diplomatic efficiency, the next demands aggressive engine conversion under time pressure. Map states remain highly legible despite scale; by late game, up to 29 tiles and layered markers support deep positional planning. Veteran groups report that Silos: Nana shines brightest after a few sessions, once subtle timing windows and bluff cues become legible.",,Cards|Miniatures|Legacy|Campaign,Thematic,20.38,1,5,30,"Silver Oak Studio","Elliot Mercer",1994,/images/fixtures/game_0030.png,2025-12-31T14:44:34+00:00,2026-03-26T10:29:41+00:00,"-0.6718,-0.005,0.0468,0.0252,0.8739,-0.9573,0.6328,-0.8255"
31,"Cutthroat Inis","Cutthroat Inis blends Thematic structure with Legacy chaos, delivering 95-minute arcs where every decision compounds into later chapters. Action windows stay short, but consequence chains run long, especially in sessions around 95 minutes where adaptation beats scripted play. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,Dice|Legacy,Thematic,48.61,2,10,126,"Nimbus Games","Nico Valdez",2015,/images/fixtures/game_0031.png,2025-03-30T22:09:01+00:00,2026-03-26T10:29:41+00:00,"-0.0445,-0.9437,0.5448,0.3578,0.8427,-0.3747,-0.7693,-0.075"
32,"Inis: Arena","Inis: Arena blends Thematic structure with Miniatures chaos, delivering 163-minute arcs where every decision compounds into later chapters. Rule overhead stays modest thanks to consistent icon grammar, even while strategic depth rises sharply after the first two plays. Round structure forces meaningful tradeoffs between tempo and efficiency; over 4 chapters, even small resource leaks become strategic liabilities. Only adaptable crews master Inis: Arena, where a reputation system unlocks asymmetric late-game powers and long-term planning matter as much as tactical brilliance.",,"Miniatures|Dice|Engine Building",Thematic,63.18,3,8,88,"Indigo Forge","Elliot Mercer",2024,/images/fixtures/game_0032.png,2025-12-23T05:53:32+00:00,2026-03-26T10:29:41+00:00,"0.6168,-0.2796,0.4419,-0.1691,-0.2882,-0.4452,0.8596,0.2973"
33,"Inis Stressful","Inis Stressful opens like a classic Strategy game, then quickly reveals Engine Building layers that reward long-form table memory. Negotiation matters more than it first appears; temporary coalitions routinely form, fracture, and reform inside a single chapter. Map states remain highly legible despite scale; by late game, up to 14 tiles and layered markers support deep positional planning. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Dice|Engine Building",Strategy,69.37,3,7,79,"Arcana Works","Lena Ortiz",2014,/images/fixtures/game_0033.png,2025-08-17T18:06:52+00:00,2026-03-26T10:29:41+00:00,"-0.9619,-0.0649,0.9669,0.4843,-0.841,-0.5115,-0.0677,0.1175"
34,"Trailblazers: Citadel","Trailblazers: Citadel opens like a classic Co-op game, then quickly reveals Campaign layers that reward long-form table memory. By mid-campaign, 9 relic slots and rotating objectives create dense interaction where denial play is as valuable as raw points. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,Campaign|Dice,Co-op,42.92,1,6,179,"Nimbus Games","Akira Flynn",1999,/images/fixtures/game_0034.png,2026-01-15T19:05:58+00:00,2026-03-26T10:29:41+00:00,"-0.8018,-0.6463,0.6203,-0.802,-0.7567,-0.2726,0.6067,-0.7123"
35,"Metal Championship","Metal Championship frames frontier diplomacy as a living sandbox: each scenario escalates pressure while 2–8 players teams improvise around shifting incentives. By mid-campaign, 7 relic slots and rotating objectives create dense interaction where denial play is as valuable as raw points. Only adaptable crews master Metal Championship, where legacy stickers permanently buff underused strategies and long-term planning matter as much as tactical brilliance.",,"Engine Building|Campaign",Party,68.14,1,7,139,"Clockwork Labs","Nico Valdez",2012,/images/fixtures/game_0035.png,2025-04-18T02:01:37+00:00,2026-03-26T10:29:41+00:00,"0.2048,0.1038,-0.2255,0.4459,-0.0496,-0.942,-0.9266,0.6465"
36,"Ego Metal","Ego Metal blends Strategy structure with Cards chaos, delivering 168-minute arcs where every decision compounds into later chapters. Negotiation matters more than it first appears; temporary coalitions routinely form, fracture, and reform inside a single chapter. Core turns revolve around simultaneous planning: commit actions, resolve conflicts, then pivot as event decks introduce 6 escalating complications. The late game stays dramatic without becoming random, making each finale feel like the natural consequence of earlier risks.",,Cards|Solo,Strategy,63.29,2,8,114,"Arcana Works","Elliot Mercer",2000,/images/fixtures/game_0036.png,2025-04-29T09:26:56+00:00,2026-03-26T10:29:41+00:00,"0.0576,-0.0328,0.8654,-0.3264,0.2172,0.2555,-0.1927,0.6085"
37,"Nana Abstract","Built around Eurogame systems, Nana Abstract pushes Campaign choices across 10 linked sessions and rewards tables that enjoy merchant drama. Map states remain highly legible despite scale; by late game, up to 26 tiles and layered markers support deep positional planning. If your table likes post-game debriefs, Nana Abstract will spark them—nearly every finale feels earned, messy, and memorable.",,"Engine Building|Campaign",Eurogame,31.66,1,10,105,"Nimbus Games","Soraya Kline",2013,/images/fixtures/game_0037.png,2025-12-16T15:23:13+00:00,2026-03-26T10:29:41+00:00,"-0.4079,-0.5202,0.4974,-0.4389,0.026,-0.1383,0.0228,0.3017"
38,"Trailblazers: Trailblazers","Trailblazers: Trailblazers blends Strategy structure with Dice chaos, delivering 89-minute arcs where every decision compounds into later chapters. Its Strategy framework encourages risky pivots, especially once table politics reshape priorities. Your group manages swingy economies while chasing milestone bonuses; by chapter 5 the board can contain over 21 modular tiles. Negotiation matters more than it first appears; temporary coalitions routinely form, fracture, and reform inside a single chapter. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Engine Building|Campaign|Dice",Strategy,30.66,3,6,44,"Arcana Works","Soraya Kline",2001,/images/fixtures/game_0038.png,2025-09-18T06:25:28+00:00,2026-03-26T10:29:41+00:00,"-0.2248,0.8371,-0.9462,-0.5828,0.8825,-0.5791,-0.4711,-0.0407"
39,"Sanctum for Trailblazers","Sanctum for Trailblazers frames merchant drama as a living sandbox: each scenario escalates pressure while 1–4 players teams improvise around shifting incentives. Its Abstract framework encourages risky pivots, especially once table politics reshape priorities. Economy rails are intentionally unstable: once players trigger threshold events, 9 new scoring hooks reshape optimal lines. Scenario goals favor adaptive teams: one mission asks for diplomatic efficiency, the next demands aggressive engine conversion under time pressure. Only adaptable crews master Sanctum for Trailblazers, where discarded cards return as global events and long-term planning matter as much as tactical brilliance.",,"Engine Building|Miniatures",Abstract,57.67,1,7,31,"Silver Oak Studio","Elliot Mercer",2015,/images/fixtures/game_0039.png,2026-02-16T02:01:12+00:00,2026-03-26T10:29:41+00:00,"0.3816,-0.0318,-0.0093,0.9214,0.3966,-0.728,0.9032,0.0317"
40,"Ra Cooperative","Ra Cooperative opens like a classic Abstract game, then quickly reveals Solo layers that reward long-form table memory. Rule overhead stays modest thanks to consistent icon grammar, even while strategic depth rises sharply after the first two plays. Core turns revolve around draft-and-resolve rounds: commit actions, resolve conflicts, then pivot as event decks introduce 8 escalating complications. The late game stays dramatic without becoming random, making each finale feel like the natural consequence of earlier risks.",,"Miniatures|Engine Building|Solo|Tile Laying",Abstract,72.58,3,6,124,"Silver Oak Studio","Elliot Mercer",1997,/images/fixtures/game_0040.png,2025-04-20T18:49:41+00:00,2026-03-26T10:29:41+00:00,"-0.5521,0.0444,0.9484,-0.2407,0.7619,-0.3109,0.2192,0.9791"
