id,title,description,image_prompt,tags,categories,price,player_count_min,player_count_max,play_time_minutes,publisher,designer,release_year,image_url,created_at,updated_at,description_vector
16,"Tactical Silos","Built around Party systems, Tactical Silos pushes Miniatures choices across 13 linked sessions and rewards tables that enjoy political intrigue. Your group manages attritional economies while chasing milestone bonuses; by chapter 3 the board can contain over 20 modular tiles. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Tile Laying|Dice|Engine Building|Miniatures",Party,28.35,1,7,50,"Clockwork Labs","Lena Ortiz",1996,/images/fixtures/game_0016.png,2026-02-07T02:50:05+00:00,2026-03-25T06:22:59+00:00,"-0.2253,0.6451,0.0545,0.4211,-0.237,0.7296,-0.0567,0.9437"
17,"Cutthroat Voyage","Cutthroat Voyage frames mythic restoration as a living sandbox: each scenario escalates pressure while 1–6 players teams improvise around shifting incentives. Campaign logs track table history, so failed gambits still unlock content; expect up to 9 relic-style upgrades that alter scoring priorities. Only adaptable crews master Cutthroat Voyage, where the map physically changes every era and long-term planning matter as much as tactical brilliance.",,Dice|Legacy|Solo,"Deck Building",25.92,1,7,139,"Indigo Forge","Akira Flynn",2021,/images/fixtures/game_0017.png,2025-12-05T19:42:37+00:00,2026-03-25T06:22:59+00:00,"0.6393,-0.5692,-0.5212,-0.456,0.8572,-0.6242,0.7483,0.1672"
18,"Tatari: Legacy","Part campaign and part systems puzzle, Tatari: Legacy asks 2–6 players players to master Co-op priorities under tight pressure. Its Co-op framework encourages risky pivots, especially once table politics reshape priorities. Round structure forces meaningful tradeoffs between tempo and efficiency; over 5 chapters, even small resource leaks become strategic liabilities. Hidden information is sparse but impactful, creating tense reveals that reward inference rather than guesswork. Only adaptable crews master Tatari: Legacy, where a hidden objective flips alliances at endgame and long-term planning matter as much as tactical brilliance.",,"Engine Building|Legacy|Solo",Co-op,22.39,4,6,178,"Arcana Works","Nico Valdez",1990,/images/fixtures/game_0018.png,2026-03-10T09:14:59+00:00,2026-03-25T06:22:59+00:00,"-0.8111,0.0133,0.0664,-0.8877,-0.0158,-0.565,0.1493,0.2203"
19,"Mythic Crown","Built around Family systems, Mythic Crown pushes Cards choices across 7 linked sessions and rewards tables that enjoy frontier diplomacy. Core turns revolve around initiative bidding: commit actions, resolve conflicts, then pivot as event decks introduce 6 escalating complications. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Engine Building|Cards|Legacy",Family,56.17,4,7,42,"Indigo Forge","Nico Valdez",1996,/images/fixtures/game_0019.png,2025-11-07T04:09:41+00:00,2026-03-25T06:22:59+00:00,"0.5057,-0.7162,-0.1168,0.0209,0.1088,-0.2567,-0.3406,-0.6916"
20,"Odyssey without Concord","Odyssey without Concord blends Co-op structure with Dice chaos, delivering 102-minute arcs where every decision compounds into later chapters. Its Co-op framework encourages risky pivots, especially once table politics reshape priorities. Your group manages risk-loaded economies while chasing milestone bonuses; by chapter 4 the board can contain over 17 modular tiles. Hidden information is sparse but impactful, creating tense reveals that reward inference rather than guesswork. Only adaptable crews master Odyssey without Concord, where the map physically changes every era and long-term planning matter as much as tactical brilliance.",,Dice|Campaign,Co-op,35.74,3,10,156,"Nimbus Games","Lena Ortiz",2018,/images/fixtures/game_0020.png,2025-05-09T08:00:14+00:00,2026-03-25T06:22:59+00:00,"-0.6887,-0.6107,0.1316,-0.4744,0.1025,-0.6156,-0.1607,-0.1453"
21,"Orbit of Odyssey","Orbit of Odyssey opens like a classic Strategy game, then quickly reveals Legacy layers that reward long-form table memory. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. Action windows stay short, but consequence chains run long, especially in sessions around 172 minutes where adaptation beats scripted play. The late game stays dramatic without becoming random, making each finale feel like the natural consequence of earlier risks.",,Cards|Legacy|Miniatures,Strategy,85.76,3,7,134,"Silver Oak Studio","Nico Valdez",2015,/images/fixtures/game_0021.png,2025-07-09T16:12:59+00:00,2026-03-25T06:22:59+00:00,"0.9954,0.371,-0.2482,-0.1196,-0.7881,-0.2689,0.1835,0.18"
22,"Persistent Echoes","Designed for expert optimization tables, Persistent Echoes channels guild conspiracies into a ruleset that stays readable while outcomes stay unpredictable. Round structure forces meaningful tradeoffs between tempo and efficiency; over 5 chapters, even small resource leaks become strategic liabilities. Expect repeat plays to diverge quickly: opening lines may look familiar, but midgame states rarely resolve the same way twice.",,"Engine Building|Dice|Campaign|Cards",Party,80.26,3,10,67,"Nimbus Games","Lena Ortiz",2009,/images/fixtures/game_0022.png,2025-06-08T12:31:19+00:00,2026-03-25T06:22:59+00:00,"0.6238,-0.3868,-0.4431,-0.3763,0.9233,0.8622,-0.4371,-0.1916"
23,"Whispering Guild","Whispering Guild is a campaign-first Abstract title for 1–3 players that leans into Miniatures, Cards, Campaign and Engine Building and simultaneous planning play. Its Abstract framework encourages risky pivots, especially once table politics reshape priorities. Round structure forces meaningful tradeoffs between tempo and efficiency; over 4 chapters, even small resource leaks become strategic liabilities. Hidden information is sparse but impactful, creating tense reveals that reward inference rather than guesswork. Veteran groups report that Whispering Guild shines brightest after a few sessions, once subtle timing windows and bluff cues become legible.",,"Miniatures|Cards|Campaign|Engine Building",Abstract,22.02,3,6,98,"Arcana Works","Nico Valdez",1998,/images/fixtures/game_0023.png,2026-01-21T01:34:22+00:00,2026-03-25T06:22:59+00:00,"-0.9346,-0.6296,-0.9088,0.8862,-0.5739,0.2187,0.8289,-0.6518"
24,"Astral Inis","Astral Inis blends Deck Building structure with Solo chaos, delivering 101-minute arcs where every decision compounds into later chapters. Its Deck Building framework encourages risky pivots, especially once table politics reshape priorities. By mid-campaign, 4 relic slots and rotating objectives create dense interaction where denial play is as valuable as raw points. Scenario goals favor adaptive teams: one mission asks for diplomatic efficiency, the next demands aggressive engine conversion under time pressure. Win or lose, Astral Inis tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,Miniatures|Solo,"Deck Building",58.24,4,6,80,"Arcana Works","Akira Flynn",2015,/images/fixtures/game_0024.png,2025-09-11T04:06:37+00:00,2026-03-25T06:22:59+00:00,"0.4573,0.2017,-0.0439,0.0843,-0.0072,-0.2712,0.2699,-0.0762"
25,"Ra Tactical","Part campaign and part systems puzzle, Ra Tactical asks 1–8 players players to master Family priorities under volatile pressure. Economy rails are intentionally unstable: once players trigger threshold events, 9 new scoring hooks reshape optimal lines. Expect repeat plays to diverge quickly: opening lines may look familiar, but midgame states rarely resolve the same way twice.",,"Tile Laying|Legacy|Solo|Dice",Family,82.82,1,10,44,"Clockwork Labs","Akira Flynn",1999,/images/fixtures/game_0025.png,2025-07-16T09:15:51+00:00,2026-03-25T06:22:59+00:00,"0.4702,0.1549,0.0636,0.2037,-0.0001,0.7968,0.8539,-0.7548"
26,"Ambitious Reckoning","Ambitious Reckoning frames arcane rivalry as a living sandbox: each scenario escalates pressure while 1–3 players teams improvise around shifting incentives. Because scoring vectors drift over time, tables that over-specialize early often get punished once Engine Building effects begin stacking. Round structure forces meaningful tradeoffs between tempo and efficiency; over 4 chapters, even small resource leaks become strategic liabilities. Expect repeat plays to diverge quickly: opening lines may look familiar, but midgame states rarely resolve the same way twice.",,"Engine Building|Campaign",Strategy,20.71,3,9,143,"Clockwork Labs","Elliot Mercer",1999,/images/fixtures/game_0026.png,2025-05-14T20:18:37+00:00,2026-03-25T06:22:59+00:00,"-0.97,0.0014,0.1243,0.1699,0.5963,-0.7301,-0.4257,-0.1156"
27,"Tatari Celtic","Part campaign and part systems puzzle, Tatari Celtic asks 2–6 players players to master Abstract priorities under attritional pressure. Its Abstract framework encourages risky pivots, especially once table politics reshape priorities. Campaign logs track table history, so failed gambits still unlock content; expect up to 8 relic-style upgrades that alter scoring priorities. Rule overhead stays modest thanks to consistent icon grammar, even while strategic depth rises sharply after the first two plays. Few designs blend Abstract and Engine Building this smoothly while remaining approachable across varied player counts.",,"Miniatures|Engine Building|Campaign",Abstract,72.76,1,5,156,"Clockwork Labs","Marcus Thorne",2023,/images/fixtures/game_0027.png,2026-03-21T20:47:32+00:00,2026-03-25T06:22:59+00:00,"-0.6806,0.27,0.216,0.6419,-0.0603,-0.5883,-0.1322,0.4031"
28,"Orbit Arcane","Orbit Arcane is a newcomer-friendly Strategy title for 1–3 players that leans into Legacy, Solo, Engine Building and Campaign and sequential tactical turns play. Campaign logs track table history, so failed gambits still unlock content; expect up to 9 relic-style upgrades that alter scoring priorities. Win or lose, Orbit Arcane tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,"Legacy|Solo|Engine Building|Campaign",Strategy,76.34,3,10,57,"Silver Oak Studio","Soraya Kline",2021,/images/fixtures/game_0028.png,2025-09-07T08:18:26+00:00,2026-03-25T06:22:59+00:00,"-0.7014,-0.3853,0.7168,-0.3448,0.389,0.7057,-0.0443,-0.0864"
29,"Nana: Forge","Nana: Forge frames frontier diplomacy as a living sandbox: each scenario escalates pressure while 2–6 players teams improvise around shifting incentives. Negotiation matters more than it first appears; temporary coalitions routinely form, fracture, and reform inside a single chapter. Core turns revolve around programmed actions: commit actions, resolve conflicts, then pivot as event decks introduce 4 escalating complications. If your table likes post-game debriefs, Nana: Forge will spark them—nearly every finale feels earned, messy, and memorable.",,Legacy|Dice|Solo|Miniatures,"Deck Building",79.20,1,6,118,"Arcana Works","Lena Ortiz",2015,/images/fixtures/game_0029.png,2025-06-30T08:42:18+00:00,2026-03-25T06:22:59+00:00,"-0.2312,-0.4856,-0.5035,-0.7052,0.8571,-0.2125,0.6852,-0.0706"
30,"Zoo Vadis Emerald","Zoo Vadis Emerald frames city-building tension as a living sandbox: each scenario escalates pressure while 1–3 players teams improvise around shifting incentives. Economy rails are intentionally unstable: once players trigger threshold events, 9 new scoring hooks reshape optimal lines. Expect repeat plays to diverge quickly: opening lines may look familiar, but midgame states rarely resolve the same way twice.",,Solo|Miniatures|Cards,Party,31.25,1,7,148,"Arcana Works","Elliot Mercer",1990,/images/fixtures/game_0030.png,2025-05-03T01:45:29+00:00,2026-03-25T06:22:59+00:00,"-0.0647,-0.1125,-0.8178,-0.4733,0.9461,0.1742,-0.8592,0.0599"
31,"Wily Tatari","Wily Tatari blends Strategy structure with Dice chaos, delivering 142-minute arcs where every decision compounds into later chapters. Campaign logs track table history, so failed gambits still unlock content; expect up to 4 relic-style upgrades that alter scoring priorities. Win or lose, Wily Tatari tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,Legacy|Dice|Campaign,Strategy,78.02,2,9,118,"Indigo Forge","Marcus Thorne",2015,/images/fixtures/game_0031.png,2026-01-19T20:00:31+00:00,2026-03-25T06:22:59+00:00,"-0.2568,-0.5608,0.8948,0.2672,0.7061,0.3574,0.5336,-0.5114"
32,"Competitive Council","Designed for expert optimization tables, Competitive Council channels political intrigue into a ruleset that stays readable while outcomes stay unpredictable. Campaign logs track table history, so failed gambits still unlock content; expect up to 7 relic-style upgrades that alter scoring priorities. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Dice|Tile Laying|Cards",Eurogame,79.02,1,5,71,"Clockwork Labs","Akira Flynn",2021,/images/fixtures/game_0032.png,2025-04-30T11:15:45+00:00,2026-03-25T06:22:59+00:00,"0.6851,-0.4728,0.5355,0.3933,0.6513,-0.1899,0.1145,-0.2121"
33,"Gang of Dice Clackety","Gang of Dice Clackety is a campaign-first Strategy title for 2–5 players that leans into Miniatures, Cards, Tile Laying and Engine Building and draft-and-resolve rounds play. A standout mechanic tied to Tile Laying means even safe plans can collapse if opponents read your tempo one round ahead. Core turns revolve around draft-and-resolve rounds: commit actions, resolve conflicts, then pivot as event decks introduce 5 escalating complications. Win or lose, Gang of Dice Clackety tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,"Miniatures|Cards|Tile Laying|Engine Building",Strategy,27.70,3,6,50,"Arcana Works","Marcus Thorne",2015,/images/fixtures/game_0033.png,2025-12-13T19:00:34+00:00,2026-03-25T06:22:59+00:00,"-0.6444,0.4278,0.508,0.0388,-0.2345,-0.2245,-0.0228,0.0007"
34,"Sunken Peacocks","Sunken Peacocks frames guild conspiracies as a living sandbox: each scenario escalates pressure while 1–8 players teams improvise around shifting incentives. Its Thematic framework encourages risky pivots, especially once table politics reshape priorities. Campaign logs track table history, so failed gambits still unlock content; expect up to 5 relic-style upgrades that alter scoring priorities. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. Only adaptable crews master Sunken Peacocks, where one public objective mutates whenever milestones are missed and long-term planning matter as much as tactical brilliance.",,"Solo|Engine Building|Cards",Thematic,21.49,2,8,82,"Nimbus Games","Marcus Thorne",1994,/images/fixtures/game_0034.png,2025-08-30T09:42:36+00:00,2026-03-25T06:22:59+00:00,"-0.2796,-0.1913,0.5579,0.8045,-0.9403,-0.7829,-0.7005,0.2402"
35,"Ego Patient","Ego Patient opens like a classic Thematic game, then quickly reveals Miniatures layers that reward long-form table memory. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. Core turns revolve around programmed actions: commit actions, resolve conflicts, then pivot as event decks introduce 6 escalating complications. Expect repeat plays to diverge quickly: opening lines may look familiar, but midgame states rarely resolve the same way twice.",,Solo|Miniatures,Thematic,63.28,2,10,148,"Clockwork Labs","Lena Ortiz",2011,/images/fixtures/game_0035.png,2026-02-02T07:56:31+00:00,2026-03-25T06:22:59+00:00,"0.9598,0.9688,-0.023,0.0802,0.2876,0.1814,0.1149,0.985"
36,"Arcane Forge","Arcane Forge opens like a classic Thematic game, then quickly reveals Cards layers that reward long-form table memory. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. Core turns revolve around initiative bidding: commit actions, resolve conflicts, then pivot as event decks introduce 9 escalating complications. Win or lose, Arcane Forge tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,"Miniatures|Tile Laying|Cards",Thematic,41.87,1,9,136,"Indigo Forge","Elliot Mercer",2000,/images/fixtures/game_0036.png,2026-03-16T04:18:11+00:00,2026-03-25T06:22:59+00:00,"0.8097,0.1711,0.8381,0.7352,0.5807,-0.163,0.7345,-0.8033"
37,"Nana: Ichor","Built around Deck Building systems, Nana: Ichor pushes Solo choices across 12 linked sessions and rewards tables that enjoy political intrigue. Your group manages risk-loaded economies while chasing milestone bonuses; by chapter 7 the board can contain over 19 modular tiles. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,Solo|Legacy,"Deck Building",50.37,2,8,167,"Silver Oak Studio","Akira Flynn",1997,/images/fixtures/game_0037.png,2026-02-03T04:10:08+00:00,2026-03-25T06:22:59+00:00,"-0.2731,-0.6099,-0.581,-0.5443,-0.2957,-0.5592,0.1258,0.4754"
38,"Harbor of Maze","At its core, Harbor of Maze is a Strategy design where Miniatures and Engine Building mechanisms collide with real-time bursts pacing for 2–7 players groups. Scenario goals favor adaptive teams: one mission asks for diplomatic efficiency, the next demands aggressive engine conversion under time pressure. Core turns revolve around real-time bursts: commit actions, resolve conflicts, then pivot as event decks introduce 9 escalating complications. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Miniatures|Engine Building",Strategy,83.69,4,5,173,"Nimbus Games","Elliot Mercer",1994,/images/fixtures/game_0038.png,2025-04-24T22:27:06+00:00,2026-03-25T06:22:59+00:00,"0.265,0.7197,0.9691,0.6726,-0.7566,0.595,-0.4882,-0.1674"
39,"Zoo Vadis: Reckoning","Part campaign and part systems puzzle, Zoo Vadis: Reckoning asks 1–5 players players to master Abstract priorities under attritional pressure. Its Abstract framework encourages risky pivots, especially once table politics reshape priorities. Round structure forces meaningful tradeoffs between tempo and efficiency; over 3 chapters, even small resource leaks become strategic liabilities. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Dice|Miniatures|Tile Laying|Engine Building",Abstract,55.48,1,6,133,"Indigo Forge","Akira Flynn",1998,/images/fixtures/game_0039.png,2026-01-02T11:23:15+00:00,2026-03-25T06:22:59+00:00,"0.9212,0.6103,-0.4888,0.1159,0.2072,-0.8212,-0.7296,-0.4871"
40,"Zoo Vadis Celtic","Built around Strategy systems, Zoo Vadis Celtic pushes Campaign choices across 8 linked sessions and rewards tables that enjoy expedition survival. Campaign logs track table history, so failed gambits still unlock content; expect up to 10 relic-style upgrades that alter scoring priorities. The late game stays dramatic without becoming random, making each finale feel like the natural consequence of earlier risks.",,"Legacy|Solo|Campaign|Engine Building",Strategy,70.96,1,6,78,"Indigo Forge","Soraya Kline",2011,/images/fixtures/game_0040.png,2025-06-17T11:02:42+00:00,2026-03-25T06:22:59+00:00,"0.3142,0.6849,0.355,0.8867,0.5444,0.7674,-0.0034,0.8549"
41,"Ichor Clackety","Designed for family-plus strategy tables, Ichor Clackety channels mythic restoration into a ruleset that stays readable while outcomes stay unpredictable. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. Your group manages volatile economies while chasing milestone bonuses; by chapter 5 the board can contain over 23 modular tiles. Few designs blend Strategy and Cards this smoothly while remaining approachable across varied player counts.",,Solo|Cards|Campaign,Strategy,64.14,2,6,101,"Nimbus Games","Elliot Mercer",2011,/images/fixtures/game_0041.png,2025-09-19T23:08:36+00:00,2026-03-25T06:22:59+00:00,"0.8022,0.8389,-0.9455,0.5077,0.4478,-0.4434,-0.6793,0.6655"
